species,mtdna.length,cds.count.ncbi,trna.count.ncbi,rrna.count.ncbi,sum
Oryzias minutillus,16953,13,22,2,37
Oryzias dancena,16863,13,22,2,37
Oryzias luzonensis,16666,13,22,2,37
Ammothea carolinensis,15101,13,22,2,37
Oryzias javanicus,16892,13,22,2,37
Cottus poecilopus,16560,13,22,2,37
Candida prachuapensis,90840,18,25,2,45
Ithaginis cruentus,16683,13,22,2,37
Petrochromis trewavasae,16588,13,22,2,37
Tropheus moorii,16590,13,22,2,37
Luciogobius platycephalus,16478,13,22,2,37
Paralithodes camtschaticus,16720,13,22,2,37
Epinephelus fuscoguttatus,16648,13,22,2,37
Hyporthodus octofasciatus,16545,13,22,2,37
Moschus chrysogaster,16353,13,22,2,37
Nannochloropsis oceanica,38057,35,25,2,62
Issoria lathonia,15172,13,22,2,37
Butomus umbellatus,450826,30,16,4,50
Aegilops speltoides var. ligustica,476091,34,25,10,69
Triticum timopheevii,443419,35,23,8,66
Variola louti,16770,13,23,2,38
Variola albimarginata,16768,13,23,2,38
Triso dermopterus,16605,13,22,2,37
Cephalopholis argus,16767,13,23,2,38
Cephalopholis sonnerati,16587,13,22,2,37
Glomus cerebriforme,59633,20,25,2,47
Oocatochus rufodorsatus,17159,13,22,2,37
Enophrys diceraus,16976,13,22,2,37
Orectolobus japonicus,16706,13,22,2,37
Spinibarbus caldwelli,16545,13,22,2,37
Emberiza aureola,16800,13,22,2,37
Candida blackwelliae,32053,14,24,2,40
Candida chauliodis,77153,19,24,2,45
Pristipomoides multidens,16507,13,22,2,37
Mesocottus haitej,16527,13,22,2,37
Cirrhinus molitorella,16602,13,22,2,37
Acrossocheilus hemispinus,16590,13,22,2,37
Acrossocheilus barbodon,16596,13,22,2,37
Agrotis ipsilon,15377,13,22,2,37
Pseudogobius javanicus,16493,13,22,2,37
Saurogobio dumerili,16601,13,22,2,37
Biwia springeri,16606,13,22,2,37
Gnathopogon strigatus,16602,13,22,2,37
Squalidus wolterstorffi,16602,13,22,2,37
Microphysogobio longidorsalis,16603,13,22,2,37
Hemibarbus umbrifer,16611,13,22,2,37
Galeocerdo cuvier,16703,13,22,2,37
Anas poecilorhyncha,16608,13,22,2,37
Micronycteris megalotis,16589,13,22,2,37
Anoura caudifer,16546,13,22,2,37
Brachyphylla cavernarum,16785,13,22,2,37
Carollia perspicillata,16711,13,22,2,37
Desmodus rotundus,16659,13,22,2,37
Lophostoma silvicolum,16666,13,22,2,37
Pteronotus rubiginosus,16616,13,22,2,37
Rhinophylla pumilio,16671,13,22,2,37
Sturnira tildae,16637,13,22,2,37
Vampyrum spectrum,16637,13,22,2,37
Sibynophis chinensis,17163,13,22,2,37
Candida bohioensis,69218,19,24,2,45
Pleuronichthys cornutus,17469,13,22,2,37
Eusthenes cupreus,16229,13,22,2,37
Hymeniacidon sinapium,23435,14,25,2,41
Anas crecca,16601,13,22,2,37
Acipenser ruthenus,16790,13,22,2,37
Metzia formosae,16614,13,22,2,37
Johnius belangerii,19154,13,22,2,37
Spinibarbus sinensis,16591,13,22,2,37
Sepia apama,16184,13,22,2,37
Sepia latimanus,16225,13,22,2,37
Sepia lycidas,16244,13,22,2,37
Bolocera tuediae,19143,14,2,2,18
Luciola cruciata,15989,13,22,2,37
Sarcocheilichthys sinensis,16684,13,22,2,37
Ephestia kuehniella,15295,13,22,2,37
Kurtus gulliveri,16661,13,22,2,37
Istiophorus albicans,16514,13,22,2,37
Trichogaster lalius,16476,13,22,2,37
Parachanna insignis,16607,13,22,2,37
Platycephalus indicus,16542,13,22,2,37
Dysalotus alcocki,16460,13,22,2,37
Champsodon cf. snyderi CBM-ZF 10876,18903,13,22,2,37
Sphyraena barracuda,16707,13,22,2,37
Eumegistus illustris,16711,13,22,2,37
Taractes asper,16720,13,22,2,37
Pteraclis aesticola,16809,13,22,2,37
Kali indica,16627,13,22,2,37
Sphyraena japonica,16760,13,22,2,37
Nesiarchus nasutus,16703,13,22,2,37
Promethichthys prometheus,16810,13,22,2,37
Thyrsitoides marleyi,16138,13,22,2,37
Ruvettus pretiosus,16202,13,22,2,37
Assurger anzac,16510,13,22,2,37
Evoxymetopon poeyi,16475,13,22,2,37
Gymnosarda unicolor,16510,13,22,2,37
Ariomma lurida,16526,13,22,2,37
Ariomma indicum,16537,13,22,2,37
Tetragonurus cuvieri,16485,13,22,2,37
Tetragonurus atlanticus,16476,13,22,2,37
Pampus punctatissimus,16553,13,22,2,37
Peprilus triacanthus,16519,13,22,2,37
Rexea nakamurai,16382,13,22,2,37
Epinnula magistralis,16545,13,22,2,37
Aphanopus carbo,16406,13,22,2,37
Pomatomus saltatrix,16544,13,22,2,37
Echeneis naucrates,16612,13,22,2,37
Epinephelus merra,17017,13,22,2,37
Apogon semilineatus,16508,13,22,2,37
Pterapogon kauderni,16530,13,22,2,37
Paracirrhites arcatus,17336,13,22,2,37
Sasakia funebris,15233,13,22,2,37
Tonatia saurophila,16629,13,22,2,37
Entransia fimbriata,61645,35,30,3,68
Roya obtusa,69465,41,26,3,70
Acheilognathus yamatsutae,16703,13,22,2,37
Cottus hangiongensis,16598,13,22,2,37
Ganoderma sinense,86451,48,28,2,78
Monomastix sp. OKE-1,60883,58,26,3,87
Microspora stagnorum,87405,47,28,3,78
Batocera lineolata,15418,13,22,2,37
Spodoptera litura,15388,13,22,2,37
Sphyrna lewini,16726,13,22,2,37
Hylobitelus xiaoi,16123,13,22,2,37
Cavariella salicicola,16317,13,22,2,37
Arborophila brunneopectus,16719,13,22,2,37
Eurema hecabe,15160,13,22,2,37
Rhodeus shitaiensis,16774,13,22,2,37
Junonia orithya,15214,13,22,2,37
Myotis ikonnikovi,16584,13,22,2,37
Glyphodes quadrimaculalis,15255,13,22,2,37
Dopasia harti,17163,13,22,2,37
Microphysogobio brevirostris,16608,13,22,2,37
Pseudobagrus trilineatus,16535,13,22,2,37
Odontobutis potamophila,16932,13,22,2,37
Trachinotus ovatus,16563,13,22,2,37
Jellisonia amadoi,17031,13,22,2,37
Plagiognathops microlepis,16623,13,22,2,37
Misgurnus mohoity,16566,13,22,2,37
Channa marulius,16569,13,22,2,37
Notochthamalus scabrosus,15397,13,21,2,36
Cordyceps militaris,33277,15,26,2,43
Rhinogobius similis,16520,13,22,2,37
Sepiella inermis,16191,13,22,2,37
Myotis macrodactylus,17562,13,22,2,37
Protobothrops cornutus,17219,13,22,2,37
Lithobates catesbeianus,18241,13,22,2,37
Solenaia oleivora,16392,13,22,2,37
Tor sinensis,16579,13,22,2,37
Takydromus sexlineatus,18943,13,22,2,37
Cobitis lutheri,16639,13,22,2,37
Oxygymnocypris stewartii,16646,13,22,2,37
Phrynocephalus przewalskii,16892,13,23,2,38
Rhinogobio ventralis,16607,13,22,2,37
Rhodeus sinensis,16677,13,22,2,37
Hippocampus erectus,16529,13,22,2,37
Silurus soldatovi,16527,13,22,2,37
Hasemania nana,16581,13,22,2,37
Pseudobagrus ondon,16534,13,22,2,37
Pseudobagrus albomarginatus,16533,13,22,2,37
Chlamydoselachus anguineus,17314,13,22,2,37
Notorynchus cepedianus,16990,13,22,2,37
Hexanchus griseus,17223,13,22,2,37
Hexanchus nakamurai,18605,13,22,2,37
Somniosus pacificus,16730,13,22,2,37
Pseudotriakis microdon,16700,13,22,2,37
Pleurocorallium elatius,18969,14,1,2,17
Tursiops australis,16388,13,22,2,37
Dendronephthya suensoni,18851,14,1,2,17
Pyrgilauda ruficollis,16909,13,22,2,37
Oncocephalus breviscutum,15948,13,22,2,37
Odontobutis sinensis,17441,13,22,2,37
Prionace glauca,16705,13,22,2,37
Trimeresurus albolabris,17220,13,22,2,37
Pristis clavata,16804,13,22,2,37
Alopias pelagicus,16692,13,22,2,37
Acropora humilis,18479,13,2,2,17
Acropora muricata,18481,13,2,2,17
Acropora horrida,18480,13,2,2,17
Acropora hyacinthus,18566,13,2,2,17
Acropora aspera,18479,13,2,2,17
Acropora florida,18365,13,2,2,17
Acropora yongei,18342,13,2,2,17
Acropora digitifera,18479,13,2,2,17
Acropora nasuta,18481,13,2,2,17
Acropora divaricata,18481,13,2,2,17
Acropora robusta,18480,13,2,2,17
Scleropages jardinii,16670,13,22,2,37
Aetobatus flagellum,20201,13,22,2,37
Sicyopterus lagocephalus,16500,13,22,2,37
Nucifraga columbiana,16905,13,22,2,37
Campylorhynchus zonatus,16780,13,22,2,37
Rhinobatos hynnicephalus,16776,13,22,2,37
Panthera onca,17049,13,22,2,37
Dinocras cephalotes,15666,13,22,2,37
Salvelinus leucomaenis,16658,13,22,2,37
Saurogobio dabryi,16604,13,22,2,37
Laternula elliptica,14622,13,22,2,37
Epinephelus bleekeri,17227,13,26,2,41
Pristaulacus compressus,15563,13,22,2,37
Leptobotia rubrilabris,16585,13,22,2,37
Pseudobrama simoni,16618,13,22,2,37
Celaenorrhinus maculosa,15282,13,22,2,37
Misgurnus bipartitus,16636,13,22,2,37
Aspiorhynchus laticeps,16591,13,22,2,37
Pethia conchonius,17082,13,22,2,37
Barbatula nuda,16619,13,22,2,37
Corallium rubrum,18915,14,1,2,17
Schizopyge niger,16585,13,22,2,37
Schizothorax esocinus,16583,13,22,2,37
Onychostoma rara,16590,13,22,2,37
